Activity ID,date,year,time,name,type,Activity Description,elapsed_time,distance,Relative Effort,Commute,Activity Gear,Filename,day_computed
,Sep 15,,10:01:26 PM,,Run,,3125,6.47,,,,,259
,Sep 17,,11:30:35 AM,,Run,,2395,8.05,,,,,261
,Sep 19,,9:58:36 PM,,Run,,3266,7.49,,,,,263
,Sep 30,,11:15:51 AM,,Run,,1821,5.51,,,,,274
,Oct 3,,11:17:41 AM,,Run,,1555,3.78,,,,,277
,Oct 5,,5:19:58 PM,,Run,,3431,4.87,,,,,279
,Oct 8,,10:04:06 PM,,Run,,1577,4.93,,,,,282
,Oct 16,,11:12:40 AM,,Run,,1503,4.85,,,,,290
,Oct 21,,11:44:02 AM,,Run,,2318,5.05,,,,,295
,Oct 27,,11:05:34 AM,,Run,,3535,8.21,,,,,301
,Oct 31,,12:15:21 PM,,Run,,1821,5.46,,,,,305
,Nov 5,,1:14:20 PM,,Run,,2335,5.28,,,,,310
,Nov 11,,11:50:34 AM,,Run,,2175,6.78,,,,,316
,Nov 19,,10:57:04 PM,,Run,,2542,5.78,,,,,324
,Nov 29,,5:38:26 PM,,Run,,2614,4.29,,,,,334
,Dec 24,,4:39:40 PM,,Run,,1911,4.11,,,,,359
,Dec 26,,1:37:05 PM,,Run,,2191,3.6,,,,,361
